Algorithm,Domain,Num. Of Traces,Threshold,Epsilon,Fold,Unobserved_actions,precision_effect,precision_precondition,recall_effect,recall_precondition
rosame,rover,10,0.5,0.2,1,0,0.46,0.32,0.52,0.81
sam_with,rover,10,0.5,0.2,2,5,1,0.2,0.44,0.92
sam_without,rover,10,0.5,0.2,2,5,1,0.2,0.44,0.92
rosame,rover,10,0.5,0.2,2,0,0.44,0.34,0.44,0.76
sam_with,rover,10,0.5,0.2,3,5,1,0.23,0.44,0.96
sam_without,rover,10,0.5,0.2,3,5,1,0.23,0.44,0.96
rosame,rover,10,0.5,0.2,3,0,0.52,0.36,0.52,0.86
sam_with,rover,10,0.5,0.2,4,5,1,0.2,0.36,0.94
sam_without,rover,10,0.5,0.2,4,5,1,0.2,0.36,0.94
rosame,rover,10,0.5,0.2,4,0,0.38,0.24,0.47,0.48
sam_with,rover,10,0.5,0.4,0,4,1,0.29,0.47,0.98
sam_without,rover,10,0.5,0.4,0,4,1,0.29,0.47,0.98
rosame,rover,10,0.5,0.4,0,0,0.56,0.38,0.51,0.9
sam_with,rover,10,0.5,0.4,1,5,1,0.21,0.44,0.94
sam_without,rover,10,0.5,0.4,1,5,1,0.21,0.44,0.94
rosame,rover,10,0.5,0.4,1,0,0.47,0.43,0.59,0.62
sam_with,rover,10,0.5,0.4,2,5,1,0.2,0.44,0.92
sam_without,rover,10,0.5,0.4,2,5,1,0.2,0.44,0.92
rosame,rover,10,0.5,0.4,2,0,0.45,0.33,0.49,0.79
sam_with,rover,10,0.5,0.4,3,5,1,0.23,0.44,0.96
sam_without,rover,10,0.5,0.4,3,5,1,0.23,0.44,0.96
rosame,rover,10,0.5,0.4,3,0,0.48,0.37,0.6,0.9
sam_with,rover,10,0.5,0.4,4,5,1,0.2,0.36,0.94
sam_without,rover,10,0.5,0.4,4,5,1,0.2,0.36,0.94
rosame,rover,10,0.5,0.4,4,0,0.56,0.25,0.49,0.59
sam_with,rover,10,0.5,0.6,0,4,1,0.24,0.47,0.89
sam_without,rover,10,0.5,0.6,0,4,1,0.24,0.47,0.89
rosame,rover,10,0.5,0.6,0,0,0.5,0.33,0.54,0.69
sam_with,rover,10,0.5,0.6,1,5,1,0.19,0.44,0.86
sam_without,rover,10,0.5,0.6,1,5,1,0.19,0.44,0.86
rosame,rover,10,0.5,0.6,1,0,0.47,0.29,0.54,0.63
sam_with,rover,10,0.5,0.6,2,5,0.97,0.17,0.42,0.88
sam_without,rover,10,0.5,0.6,2,5,0.97,0.17,0.42,0.88
rosame,rover,10,0.5,0.6,2,0,0.44,0.27,0.52,0.62
sam_with,rover,10,0.5,0.6,3,5,1,0.24,0.44,0.93
sam_without,rover,10,0.5,0.6,3,5,1,0.24,0.44,0.93
rosame,rover,10,0.5,0.6,3,0,0.45,0.33,0.49,0.69
sam_with,rover,10,0.5,0.6,4,5,1,0.22,0.36,0.93
sam_without,rover,10,0.5,0.6,4,5,1,0.22,0.36,0.93
rosame,rover,10,0.5,0.6,4,0,0.53,0.37,0.49,0.71
sam_with,rover,10,0.5,0.8,0,4,0.78,0.15,0.19,0.72
sam_without,rover,10,0.5,0.8,0,4,0.8,0.16,0.36,0.74
rosame,rover,10,0.5,0.8,0,0,0.47,0.25,0.39,0.48
sam_with,rover,10,0.5,0.8,1,5,0.78,0.12,0.17,0.71
sam_without,rover,10,0.5,0.8,1,5,0.78,0.11,0.33,0.71
rosame,rover,10,0.5,0.8,1,0,0.46,0.26,0.39,0.69
sam_with,rover,10,0.5,0.8,2,5,0.86,0.13,0.31,0.76
sam_without,rover,10,0.5,0.8,2,5,0.92,0.14,0.42,0.79
rosame,rover,10,0.5,0.8,2,0,0.39,0.23,0.25,0.65
sam_with,rover,10,0.5,0.8,3,5,0.94,0.19,0.39,0.86
sam_without,rover,10,0.5,0.8,3,5,0.94,0.19,0.39,0.86
rosame,rover,10,0.5,0.8,3,0,0.35,0.28,0.36,0.47
sam_with,rover,10,0.5,0.8,4,5,1,0.19,0.36,0.85
sam_without,rover,10,0.5,0.8,4,5,0.94,0.19,0.36,0.85
rosame,rover,10,0.5,0.8,4,0,0.38,0.22,0.41,0.52
sam_with,rover,10,0.5,1,0,4,0.64,0.17,0.11,0.68
sam_without,rover,10,0.5,1,0,4,0.73,0.18,0.27,0.7
rosame,rover,10,0.5,1,0,0,0.35,0.15,0.34,0.34
sam_with,rover,10,0.5,1,1,5,0.61,0.18,0.06,0.65
sam_without,rover,10,0.5,1,1,5,0.72,0.14,0.28,0.67
rosame,rover,10,0.5,1,1,0,0.25,0.18,0.34,0.43
sam_with,rover,10,0.5,1,2,5,0.69,0.08,0.14,0.7
sam_without,rover,10,0.5,1,2,5,0.75,0.08,0.25,0.73
rosame,rover,10,0.5,1,2,0,0.22,0.12,0.31,0.29
sam_with,rover,10,0.5,1,3,5,0.83,0.14,0.28,0.79
sam_without,rover,10,0.5,1,3,5,0.83,0.14,0.28,0.79
rosame,rover,10,0.5,1,3,0,0.21,0.17,0.25,0.36
sam_with,rover,10,0.5,1,4,5,0.78,0.1,0.13,0.77
sam_without,rover,10,0.5,1,4,5,0.85,0.11,0.24,0.8
rosame,rover,10,0.5,1,4,0,0.19,0.23,0.19,0.71
sam_with,rover,50,0.1,0.2,0,2,1,0.32,0.47,0.9
